username,full_text,label
jakEtIjowOy,Bismillah kerja di IKN,Netral
PribadiBales,@mpujayaprema Garuda IKN mungkin ikut Pakem GARUDA FLU,Negatif
nobodyknowku,@hipohan Harus dibuka laporan keuangan IKN nihh. Curiga wkwk,Negatif
nienxz1993,@TaryokoL @davidhermansyah @tempodotco Jangan diliat dari besar kecil sumbangsih buat apa bayar pajak gede juga kalo dari penghasilan korupsi Kita semua masyarakat ikut andil dalam membiayai terbentuknya IKN wajar dikit-dikit dikritik,Netral
kiokio878,Belum terlalu jauh kak itu ada bapak bapak dari solo bikin gebrakan ngabisin uang rakyat cuma buat nyewa Mobil biar bisa di pake pejabat ke IKN,Negatif
tobbyprodigy,@5teV3n_Pe9eL Biar IKN &amp; kereta cepat cepet lunas... Biar pejabat negara tetap bisa hidup mewah... Yuk taat pajak...,Negatif
detikfinance,Menko Marves Luhut Binsar Pandjaitan membeberkan progres terkini ibu kota Nusantara (IKN) apa saja? https://t.co/d2Z6iRZjD3,Positif
KantahKlungkung,Peran Kementerian ATR/BPN dalam pelaksanaan penyelesaian tanah ADP IKN yaitu menyediakan data dan informasi penguasaan tanah masyarakat.,Negatif
adfirma82,Potret pendidikan di Indonesia sementara pejabatnya foya - foya di IKN . . https://t.co/lebcd4ip71,Netral
KantahKlungkung,Menteri AHY juga menyampaikan bahwa saat ini penanganan dampak sosial kemasyarakatan (PDSK) untuk 2.086 hektare pada tanah Aset Dalam Penguasaan (ADP) di IKN masih terus dilakukan.,Netral
KantahKlungkung,Menteri ATR/Kepala BPN menyebut upaya menarik investasi di IKN dilakukan pemerintah dengan mengedepankan pendekatan yang humanis kepada masyarakat. Hal ini untuk menjaga kelestarian lingkungan hidup serta eksistensi masyarakat setempat.,Positif
KantahKlungkung,Kota Balikpapan - Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN) Agus Harimurti Yudhoyono (AHY) menekankan bahwa kepastian hukum hak atas tanah menjadi salah satu hal yang penting dalam meningkatkan minat investasi asing di Ibu Kota Nusantara (IKN).,Positif
electrizntmgg,PLN sukses menjaga keandalan kelistrikan selama Presiden Joko Widodo berkantor di Ibu Kota Negara (IKN) Nusantara dari tanggal 28 hingga 30 Juli. PLN bersiap mengawal kelancaran upacara kemerdekaan di IKN. #PLNSiagaHUTRIIKN https://t.co/nUHktXWP2O,Positif
Riez_1,@Mdy_Asmara1701 Urgensinya apa pindah ke IKN segala ? Logikanya dimana terkait buatan siapa fungsinya apa ? Sudah maksimal belum ? Istana yang ada saja suka ditinggal kabur pas lagi ada demo di depan istana. Ngaco.. lah,Negatif
pranaladotco,Presiden Jokowi Kembali Berkantor di IKN Siapkan Sidang Kabinet Paripurna Pertama https://t.co/yKFilRC6Y7,Netral
aforcef,@uanmeir kirain gedung ikn,Netral
Angga_sury4,@OX3masRI @dika_maxelyou Sekitaran IKN tp gedung nya gk se mewah IKN,Netral
Tedjo05013701,@Condrom54866688 @Dennysiregar7 Ini mang strategi marketing nya .. biar melas..??? lanjut booming penontonnya .. amin.. mungkin sdh survey ke ikn diam2 utk next film... abang benci kok rindu terus... netral aja Bsng hidup ini,Negatif
ikn0wu_,@Themhdzkr1 @syazwan_skj92 @najwahvdaa tak bisa dapet emas saja belagu ngomongin IQ AWOWKWK,Netral
kalimaya_malang,Cek Syarat &amp; Cara Daftar Ikut Upacara Peringatan HUT RI 17 Agustus 2024 di Jakarta dan IKN #TGIMKBFM https://t.co/YFATVQcH8K https://t.co/M0fbrUjdwe,Netral
HalanWaSahlan,@xquitavee Iris kuping gw. IKN bakal jadi kota hantu,Negatif
m1zon3,Pembangunan IKN akan mampu memberikan dorongan bagi terwujudnya transformasi ekonomi IKN akan mampu menggalakkan pertumbuhan ekonomi yang adil dan merata Nurul Akmal Malaysia Spain Cupang Ria SW Saka Tatal Ronaldo #GOLD https://t.co/NNEQsvUGz9,Positif
ghzimt,@villain__n @BuzzerShestar bener lagian mau pemerataan tpi bangun di hutan mulai dari nol bgt ya boncos lah apbn kota lain jadi terhambat pembangunannya karena fokusnya di IKN yg ngebet cepet selesai dan mau lebih baik dri jkt ya bayangin lah seberapa dan,Negatif
66Lodaya,@5teV3n_Pe9eL Bentar lagi banjir air tenggelam tuh ikn...,Negatif
An14isa,Dukung pembangunan IKN ð²ð¨,Positif
HerlinaTatiana,@DokterTifa Yg boleh hadir hanya cinoÂ². IKN bukan milik Indonesia tapi milik RRC. Knapa masih belum sadar juga ???,Negatif
Aisyahbandar,@anamazingbali Pemerintahan Jokowi akan lebih baik dari sekrang bila tidak memaksakan diri membangun IKN bayangkan bila masing2 kabupatan di Bali diberikan 1T pasti bakal berkembang bgt dah itu Bangli Karangasem Bleleng Negaroa tapi uangnya malah dikasi i,Negatif
ikn0wu_,@CFC_Rajvinder @nasisupremacy iih seramnya Abang pendukung zionis ini AWOWKWK,Netral
FachSetiawan,Gapapa Kan dapat IKN sama tol sama sini,Positif
ikn0wu_,Seru kali lah wkwkwk,Positif
satrmadangkara,@fxnetizen @liputan6dotcom Pajak mereka dipake foya2 nggak jelas juga tujuan bikin IKN.. yg ada jadinya sengaja lebih exclusive jauh dari rakyat,Negatif
ikn0wu_,@Anneliese9_ @jakaprd @syazwan_skj92 @najwahvdaa Sudahlah kawan apa yang you harapkan emas saja tak dapat mereka peroleh awowkwk,Netral
futuristartnft,@gustavssondhela Di IKN susah air sering hujan lama jg akan banjir parah kaya kota lain di kalimantan... dah baca beritanya blm,Negatif
AbaheKade,SatuÂ² dulu lah rampungin dulu tuh IKN nah klu ada duitnya baru bikin yg lain atau lebih berfaedah lagi buat pembangunan yg lain misal sekolah dll yg lebih penting https://t.co/IJDnRDtMGP,Negatif
RXaquil,@BuzzerShestar Padahal kalo mgomong soal IKN itu yaa berbicara soal HUTANG KEEGOISAN KERAKUSAN DAN INGIN TERLIHAT SUPERIOIR DAN ITU AMBISI OKNUM JAWA SOLO,Negatif
ikn0wu_,@syazwan_skj92 @najwahvdaa IQ you berapa bang awowkwk Dapet emas aja susah,Netral
BennyValentinus,@G4b0nG0ku @WagimanDeep212_ Mentri mana yg sdh berkantor di IKN??,Netral
Babahireng2,@Nidyna10 IKN Nusantarað®ð©ï¸,Netral
AkangRozy98477,@kang___L @Safa_Andriana @CutSarina5 Ini pengalihan Isu isu agama memang manjur buat ngelabui biar tidak mbahas IKN,Positif
bantogunawan,@5teV3n_Pe9eL Anjay...hasil pajak dipake buat foya bangun IKN dan bancakan para koruptor,Netral
BagakPagarah,jokowi tinggalkan istana negara di Jakarta pindah ke IKN karena ada bau bau kolonialisme ternyata kolonialisme ada di IKN ( penjajahan dan perampasan kebebasan menjalankan agama bagi anggota paskibraka) jokowi mau pindah ke mana lagi ya ???,Netral
Dianrmdhni20,Salut untuk PLN! PLN kembali hadir dengan inovasi terbaru menyiagakan 18 unit SPKLU di IKN untuk melayani kendaraan listrik pada perayaan HUT RI ke-79. https://t.co/CuC9LmfV9e https://t.co/cgLy8DQ911,Positif
JKertawinata,@vkarr13 Buka buat di IKN ya dok hehe,Netral
BattoAjax,@RenaHoston178 @03__nakula @elsaday__ @HumorJonTampan @JhonSitorus_18 @seruanhl @Aryprasetyo85 @DS_yantie @AntoniusCDN @tnmuda @Cintada16 Ya ampuun sebenci itu anda? Tujuan dan alasan Pemindahan Ibukota Negara itu ada Dalam UU SAHIH. Ya ampuuun segitunya,Netral
agusta_rin4328,@Kemhan_RI @_TNIAU EXTRAORDINARY TNI AUð²ð¨ï¸ Melakukan Demo/Sensasi Dengan Pesawar Zat F16 Untuk Menyambut/Meriahkan HUT KEMERDEKAAN NEGERIð²ð¨ YG KE-79 Di IKN' Hope You Are Safe In The Air Or Stay in the Air TNI AUð²ð¨ï¸â­ï¸,Positif
chantika3020,Keren banget PLN! Dalam rangka mendukung acara HUT RI ke-79 di IKN PLN telah menyiapkan 18 unit SPKLU untuk memastikan kendaraan listrik tetap beroperasi dengan baik. https://t.co/OazeJZyy06 https://t.co/mcTaRA2pDC,Positif
malikbekasi,@ajengcute16__ Ikn project mercusuar menghamburkan uang rakyat. rakyat lagi kesusahan. ekonomi terpuruk. pemerintahan jokowi hanya gunting pita. yg kami inginkan perubahan. saya prihatin negara akan chaos gus mau tulang gak? after that IKN kebanggaan kita,Negatif
jaohuyn,@mxarklee Kenapa IKN burungnya kaya gitu?,Netral
myvoeuxx,Ya Allah lindungilah kami semua.. semoga kami semua senantiasa selalu dan tetap di bawah lindungan-Mu. Pantes ikn ke pulau Kalimantan,Netral
CelotehLurus,@DokterTifa Selamat datang di IKN #IstanaKegelapaN #IstanaKekeringaN,Positif
